                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56399,                 19.078,                0.33382,                      0,                      0,                      0,                      0,                0.05979,                 12.273,                0.03399,                  2e-05,                  2e-05,                  2e-05
                      2,                0.52712,                 19.234,                0.30926,                      0,                      0,                      0,                      0,                0.05991,                 12.273,                0.03407,              5.802e-05,              5.802e-05,              5.802e-05
                      3,                 1.9797,                 19.885,                 1.1841,                      0,                      0,                      0,                      0,                0.05991,                 12.273,                0.03407,               9.34e-05,               9.34e-05,               9.34e-05
                      4,                 3.6992,                 18.669,                 2.1866,                      0,                      0,                      0,                      0,                0.05991,                 12.273,                0.03409,             0.00012614,             0.00012614,             0.00012614
                      5,                0.28323,                 18.944,                0.16623,                      0,                      0,                      0,                      0,                0.05991,                 12.273,                0.03409,             0.00015624,             0.00015624,             0.00015624
                      6,                 3.6048,                 20.849,                 2.1513,                      0,                      0,                      0,                      0,                 0.0599,                 12.273,                0.03411,              0.0001837,              0.0001837,              0.0001837
                      7,                 2.6288,                 20.145,                  1.553,                      0,                      0,                      0,                      0,                 0.0599,                 12.273,                0.03411,             0.00020852,             0.00020852,             0.00020852
                      8,                 1.6341,                 19.698,                0.95178,                      0,                      0,                      0,                      0,                 0.0599,                 12.273,                0.03411,              0.0002307,              0.0002307,              0.0002307
                      9,                 1.5776,                  19.77,                0.91354,                      0,                      0,                      0,                      0,                 0.0585,                 12.273,                0.03335,             0.00025024,             0.00025024,             0.00025024
                     10,                 0.3441,                 18.908,                0.20332,                      0,                      0,                      0,                      0,                 0.0585,                 12.273,                0.03335,             0.00026714,             0.00026714,             0.00026714
                     11,                 3.5728,                 20.621,                 2.1469,                      0,                      0,                      0,                      0,                 0.0585,                 12.273,                0.03335,              0.0002814,              0.0002814,              0.0002814
                     12,                0.02987,                 18.732,                0.01737,                      0,                      0,                      0,                      0,                 0.0585,                 12.273,                0.03335,             0.00029302,             0.00029302,             0.00029302
                     13,                 2.1361,                 19.822,                 1.2517,                      0,                      0,                      0,                      0,                0.05786,                 12.273,                0.03302,               0.000302,               0.000302,               0.000302
                     14,                0.51204,                 19.025,                0.29118,                      0,                      0,                      0,                      0,                0.05786,                 12.273,                0.03302,             0.00030834,             0.00030834,             0.00030834
                     15,                 1.3255,                 19.405,                0.76413,                      0,                      0,                      0,                      0,                0.05786,                 12.273,                0.03302,             0.00031204,             0.00031204,             0.00031204
                     16,                 1.2783,                 19.355,                0.77129,                      0,                      0,                      0,                      0,                0.05786,                 12.273,                0.03302,              0.0003131,              0.0003131,              0.0003131
                     17,                 2.2101,                 19.733,                 1.3238,                      0,                      0,                      0,                      0,                0.05786,                 12.273,                0.03302,             0.00031152,             0.00031152,             0.00031152
                     18,                0.03417,                 18.649,                0.01951,                      0,                      0,                      0,                      0,                0.05786,                 12.273,                0.03302,              0.0003073,              0.0003073,              0.0003073
                     19,                0.26633,                 18.467,                0.14747,                      0,                      0,                      0,                      0,                0.05602,                 12.273,                0.03206,             0.00030044,             0.00030044,             0.00030044
                     20,                 1.6804,                 18.694,                0.99981,                      0,                      0,                      0,                      0,                0.05602,                 12.273,                0.03206,             0.00029094,             0.00029094,             0.00029094
                     21,                0.70759,                 18.252,                0.39635,                      0,                      0,                      0,                      0,                0.05602,                 12.273,                0.03206,              0.0002788,              0.0002788,              0.0002788
                     22,                0.15165,                 17.984,                0.08392,                      0,                      0,                      0,                      0,                0.05602,                 12.273,                0.03206,             0.00026402,             0.00026402,             0.00026402
                     23,                0.85199,                 18.363,                0.48082,                      0,                      0,                      0,                      0,                0.05602,                 12.273,                0.03206,              0.0002466,              0.0002466,              0.0002466
                     24,                 1.6254,                 18.714,                0.91443,                      0,                      0,                      0,                      0,                0.05602,                 12.273,                0.03206,             0.00022654,             0.00022654,             0.00022654
                     25,                 1.4033,                 18.643,                0.81677,                      0,                      0,                      0,                      0,                0.05602,                 12.273,                0.03206,             0.00020384,             0.00020384,             0.00020384
                     26,                0.67271,                 18.228,                0.40874,                      0,                      0,                      0,                      0,                0.05602,                 12.273,                0.03206,              0.0001785,              0.0001785,              0.0001785
                     27,                 2.4685,                  19.23,                 1.4097,                      0,                      0,                      0,                      0,                0.05464,                 12.273,                0.03143,             0.00015052,             0.00015052,             0.00015052
                     28,                 2.7929,                 19.007,                  1.579,                      0,                      0,                      0,                      0,                0.05464,                 12.273,                0.03143,              0.0001199,              0.0001199,              0.0001199
                     29,                 2.4607,                 18.917,                  1.405,                      0,                      0,                      0,                      0,                0.05464,                 12.273,                0.03143,              8.664e-05,              8.664e-05,              8.664e-05
                     30,                0.36944,                 17.782,                0.20675,                      0,                      0,                      0,                      0,                0.05464,                 12.273,                0.03143,              5.074e-05,              5.074e-05,              5.074e-05
